Year,Month,Irradiation
2005,Jan,121.92
2005,Feb,123.42
2005,Mar,155.44
2005,Apr,187.27
2005,May,168.45
2005,Jun,149.47
2005,Jul,65.65
2005,Aug,101.14
2005,Sep,91.32
2005,Oct,167.04
2005,Nov,201.27
2005,Dec,210.63
2006,Jan,176.81
2006,Feb,174.42
2006,Mar,164.02
2006,Apr,169.18
2006,May,121.02
2006,Jun,110.07
2006,Jul,68.67
2006,Aug,77.57
2006,Sep,135.47
2006,Oct,160.18
2006,Nov,171.1
2006,Dec,184.78
2007,Jan,191.15
2007,Feb,130.63
2007,Mar,196.31
2007,Apr,185.72
2007,May,165.29
2007,Jun,104.8
2007,Jul,60.66
2007,Aug,87.95
2007,Sep,120.16
2007,Oct,170.12
2007,Nov,188.77
2007,Dec,172.78
2008,Jan,158.79
2008,Feb,183.77
2008,Mar,217
2008,Apr,206.6
2008,May,172.93
2008,Jun,66.46
2008,Jul,62.41
2008,Aug,61.44
2008,Sep,137.27
2008,Oct,168.89
2008,Nov,177.93
2008,Dec,150.26
2009,Jan,183.54
2009,Feb,196.18
2009,Mar,218.27
2009,Apr,206.85
2009,May,164.08
2009,Jun,167.86
2009,Jul,112.63
2009,Aug,108.14
2009,Sep,103.07
2009,Oct,176.9
2009,Nov,161.43
2009,Dec,149.51
2010,Jan,162.16
2010,Feb,180.15
2010,Mar,223.91
2010,Apr,224.51
2010,May,173.93
2010,Jun,142.79
2010,Jul,61
2010,Aug,81.66
2010,Sep,81.49
2010,Oct,174.8
2010,Nov,164.15
2010,Dec,194.74
2011,Jan,187.28
2011,Feb,166.33
2011,Mar,210.17
2011,Apr,192.84
2011,May,165.98
2011,Jun,99.63
2011,Jul,73.86
2011,Aug,86.09
2011,Sep,122.83
2011,Oct,189.16
2011,Nov,161.2
2011,Dec,179.89
2012,Jan,145.04
2012,Feb,164.6
2012,Mar,232.45
2012,Apr,189.97
2012,May,216.21
2012,Jun,164.25
2012,Jul,61.51
2012,Aug,85.04
2012,Sep,114.46
2012,Oct,190.42
2012,Nov,189.01
2012,Dec,179.48
2013,Jan,191.23
2013,Feb,128.71
2013,Mar,217.93
2013,Apr,199.73
2013,May,179.95
2013,Jun,62.87
2013,Jul,66.89
2013,Aug,94.15
2013,Sep,137.38
2013,Oct,126.36
2013,Nov,188.99
2013,Dec,179.86
2014,Jan,164.16
2014,Feb,151.02
2014,Mar,203.49
2014,Apr,214.62
2014,May,202.61
2014,Jun,159.07
2014,Jul,77.9
2014,Aug,100.59
2014,Sep,125.68
2014,Oct,169.73
2014,Nov,188.13
2014,Dec,175.81
2015,Jan,159.44
2015,Feb,158.64
2015,Mar,193.94
2015,Apr,157.14
2015,May,203.9
2015,Jun,141.56
2015,Jul,98.44
2015,Aug,86.43
2015,Sep,154.36
2015,Oct,165.45
2015,Nov,180.71
2015,Dec,181.73
2016,Jan,186.72
2016,Feb,168.93
2016,Mar,175.7
2016,Apr,178.13
2016,May,126.94
2016,Jun,87.14
2016,Jul,55.1
2016,Aug,91.14
2016,Sep,146.09
2016,Oct,181.75
2016,Nov,219.39
2016,Dec,218.69
